Flow Regime,C:Q,Frequency,Method,Mean,SD,95% CI,Median,Minimum,Maximum,Outliers
Stormflow,Diluting,Biweekly,Linear Interpolation,131.29,43.89,"45.27, 217.31",125.04,89.48,444.58,6
Stormflow,Diluting,Biweekly,Rating,-24.86,3.53,"-31.78, -17.94",-24.61,-35.87,-4.64,7
Stormflow,Diluting,Monthly,Beale,168.24,25.7,"117.87, 218.61",171.07,4.07,249.66,10
Stormflow,Diluting,Monthly,Composite,-28.53,8.58,"-45.35, -11.71",-29.25,-74.13,-12,7
Stormflow,Diluting,Monthly,Linear Interpolation,119.57,17.4,"85.47, 153.67",120.83,-20.01,149.06,9
Stormflow,Diluting,Monthly,Rating,-13.43,7.15,"-27.44, 0.58",-12.91,-68.06,-1.39,8
Stormflow,Chemostatic,Weekly,Beale,-0.75,1.27,"-3.24, 1.74",-0.8,-3.72,3.71,3
Stormflow,Chemostatic,Weekly,Composite,-0.11,1.99,"-4.01, 3.79",0.05,-4.52,4.08,14
Stormflow,Chemostatic,Weekly,Linear Interpolation,-0.41,1.12,"-2.61, 1.79",-0.41,-3.59,2.01,6
Stormflow,Chemostatic,Weekly,Rating,-0.47,1.8,"-4, 3.06",-0.25,-4.17,4.23,3
Stormflow,Chemostatic,Biweekly,Beale,-0.45,1.34,"-3.08, 2.18",-0.4,-4.23,2.35,10
Stormflow,Chemostatic,Biweekly,Composite,-0.13,3.26,"-6.52, 6.26",-0.03,-7.79,6.76,6
Stormflow,Chemostatic,Biweekly,Linear Interpolation,-0.56,1.33,"-3.17, 2.05",-0.54,-3.6,3.36,4
Stormflow,Chemostatic,Biweekly,Rating,-0.23,3.32,"-6.74, 6.28",-0.02,-9.18,6.98,9
Stormflow,Chemostatic,Monthly,Beale,-0.45,1.79,"-3.96, 3.06",-0.26,-3.97,3.32,0
Stormflow,Chemostatic,Monthly,Composite,0.59,5.83,"-10.84, 12.02",-0.25,-11.01,15.05,3
Stormflow,Chemostatic,Monthly,Linear Interpolation,-0.46,1.84,"-4.07, 3.15",-0.41,-4.45,3.98,5
