method,estimate,flow,cq,runid
pw,15.10427136811632,base,broken_dilution,100
beale,14.166131879221975,base,broken_dilution,100
rating,11.968111992939154,base,broken_dilution,100
composite,12.418037702826132,base,broken_dilution,100
truth,12.63731993774803,base,broken_dilution,100
pw,12.954307245257882,storm,broken_dilution,100
beale,9.551402368877843,storm,broken_dilution,100
rating,5.962627785471348,storm,broken_dilution,100
composite,6.034565469611014,storm,broken_dilution,100
truth,6.785304326977507,storm,broken_dilution,100
pw,14.6241279728876,unaltered,broken_dilution,100
beale,13.438784078228654,unaltered,broken_dilution,100
rating,10.915959857457329,unaltered,broken_dilution,100
composite,11.314006640349074,unaltered,broken_dilution,100
truth,11.617466281402587,unaltered,broken_dilution,100
pw,4.410952077226222,base,enrich,100
beale,5.032586940179555,base,enrich,100
rating,8.558221511046947,base,enrich,100
composite,8.814415822379173,base,enrich,100
truth,9.047909842942873,base,enrich,100
pw,4.975151066075683,storm,enrich,100
beale,7.588629558594343,storm,enrich,100
rating,16.830523503697773,storm,enrich,100
composite,17.418532839149684,storm,enrich,100
truth,21.260272560606506,storm,enrich,100
pw,4.546081561419909,unaltered,enrich,100
beale,5.381471469912813,unaltered,enrich,100
rating,9.938908045759055,unaltered,enrich,100
composite,10.249182108311183,unaltered,enrich,100
truth,10.55585895030384,unaltered,enrich,100
pw,13.588394643010137,base,none,100
beale,13.364112202430247,base,none,100
rating,12.913298797811047,base,none,100
composite,13.707533326162704,base,none,100
truth,13.30856292622854,base,none,100
pw,14.161319171789447,storm,none,100
beale,13.271775752874706,storm,none,100
rating,12.995681472305131,storm,none,100
composite,14.361630471115472,storm,none,100
truth,13.297853077061927,storm,none,100
pw,13.657049169092577,unaltered,none,100
beale,13.350122408818432,unaltered,none,100
rating,12.91837962595222,unaltered,none,100
composite,13.78913789723242,unaltered,none,100
truth,13.313194672871633,unaltered,none,100
pw,13.167228356483607,base,chemostatic,100
beale,13.092237458497719,base,chemostatic,100
rating,12.98074648522667,base,chemostatic,100
