method,estimate,flow,cq,runid
pw,12.67947509017598,base,broken_dilution,100
beale,12.334385470102578,base,broken_dilution,100
rating,10.56234379574598,base,broken_dilution,100
composite,10.406007843209306,base,broken_dilution,100
truth,10.688228796175693,base,broken_dilution,100
pw,33.48572805273099,storm,broken_dilution,100
beale,30.282097300107505,storm,broken_dilution,100
rating,11.517661783744988,storm,broken_dilution,100
composite,10.275575259829369,storm,broken_dilution,100
truth,15.255673988556818,storm,broken_dilution,100
pw,13.730057823400475,unaltered,broken_dilution,100
beale,13.406083375262135,unaltered,broken_dilution,100
rating,10.596677863120258,unaltered,broken_dilution,100
composite,10.414212632630488,unaltered,broken_dilution,100
truth,11.573604942816178,unaltered,broken_dilution,100
pw,4.272762221787053,base,enrich,100
beale,4.47409360536894,base,enrich,100
rating,8.603600474910902,base,enrich,100
composite,9.092424029002535,base,enrich,100
truth,7.98917326023532,base,enrich,100
pw,2.5936775339619937,storm,enrich,100
beale,3.401927105999591,storm,enrich,100
rating,41.206324634154875,storm,enrich,100
composite,48.70291499965009,storm,enrich,100
truth,57.3906322062915,storm,enrich,100
pw,4.1623164138458835,unaltered,enrich,100
beale,4.4259444262456675,unaltered,enrich,100
rating,10.919494650606392,unaltered,enrich,100
composite,11.926730864809132,unaltered,enrich,100
truth,10.6332421131863,unaltered,enrich,100
pw,12.997295135620483,base,none,100
beale,13.384727514021476,base,none,100
rating,13.341050868327692,base,none,100
composite,13.04384181373972,base,none,100
truth,13.306281798840777,base,none,100
pw,12.403118673438131,storm,none,100
beale,13.371496675329164,storm,none,100
rating,13.889074511213629,storm,none,100
composite,12.533083519251559,storm,none,100
truth,13.302796523564487,storm,none,100
pw,12.914880118565321,unaltered,none,100
beale,13.376748606929938,unaltered,none,100
rating,13.418674066536033,unaltered,none,100
composite,12.952238405866648,unaltered,none,100
truth,13.317782237582746,unaltered,none,100
pw,13.217711143971394,base,chemostatic,100
beale,13.255481589883146,base,chemostatic,100
rating,13.238378308248484,base,chemostatic,100
composite,13.296735539691719,base,chemostatic,100
truth,13.306281798840777,base,chemostatic,100
pw,13.087665713503611,storm,chemostatic,100
beale,13.27786255509457,storm,chemostatic,100
rating,13.260151302789057,storm,chemostatic,100
composite,13.26018268170117,storm,chemostatic,100
truth,13.26476011270712,storm,chemostatic,100
pw,13.193024885400105,unaltered,chemostatic,100
beale,13.25183904772459,unaltered,chemostatic,100
rating,13.230556707128587,unaltered,chemostatic,100
composite,13.288884449606348,unaltered,chemostatic,100
truth,13.299376461208315,unaltered,chemostatic,100
pw,12.754263025263706,base,broken_dilution,99
beale,12.205913600183932,base,broken_dilution,99
rating,10.538421121508447,base,broken_dilution,99
composite,10.336070617012153,base,broken_dilution,99
truth,10.654321305677723,base,broken_dilution,99
pw,34.17578412470345,storm,broken_dilution,99
beale,27.874421334399536,storm,broken_dilution,99
rating,11.569139926791792,storm,broken_dilution,99
composite,9.510753046046116,storm,broken_dilution,99
truth,15.063593825896518,storm,broken_dilution,99
pw,13.96471579285207,unaltered,broken_dilution,99
beale,13.234659039595048,unaltered,broken_dilution,99
rating,10.686357054363189,unaltered,broken_dilution,99
composite,10.392817849649932,unaltered,broken_dilution,99
truth,11.490443693583398,unaltered,broken_dilution,99
pw,4.179702722313147,base,enrich,99
beale,4.41590250522789,base,enrich,99
rating,8.32386265218295,base,enrich,99
composite,8.684561208160599,base,enrich,99
truth,7.983173608274075,base,enrich,99
pw,2.5604538440885607,storm,enrich,99
beale,3.381460915253052,storm,enrich,99
rating,45.36968750101869,storm,enrich,99
composite,52.314027864591644,storm,enrich,99
truth,57.45103468907232,storm,enrich,99
pw,4.049322222594779,unaltered,enrich,99
beale,4.3620005890060405,unaltered,enrich,99
rating,11.323292444735085,unaltered,enrich,99
composite,12.133387246133742,unaltered,enrich,99
truth,10.634915168572748,unaltered,enrich,99
pw,14.771061382600395,base,none,99
beale,14.706754517887548,base,none,99
rating,14.8565503516338,base,none,99
composite,15.23122176288398,base,none,99
truth,13.310784162619331,base,none,99
pw,15.017985621377159,storm,none,99
beale,14.94801812331543,storm,none,99
rating,15.622589428931715,storm,none,99
composite,16.14923768007838,storm,none,99
