method,estimate,flow,cq,runid
pw,12.914775081427601,base,broken_dilution,100
beale,12.871354680788938,base,broken_dilution,100
rating,10.362683477562848,base,broken_dilution,100
composite,10.225904935756406,base,broken_dilution,100
truth,10.660676931502977,base,broken_dilution,100
pw,33.04711013210781,storm,broken_dilution,100
beale,38.022344268885966,storm,broken_dilution,100
rating,12.711150541476966,storm,broken_dilution,100
composite,10.564195340620797,storm,broken_dilution,100
truth,15.277865286093027,storm,broken_dilution,100
pw,14.244290061261582,unaltered,broken_dilution,100
beale,14.245559572908673,unaltered,broken_dilution,100
rating,10.52423769801686,unaltered,broken_dilution,100
composite,10.337865821775788,unaltered,broken_dilution,100
truth,11.591792451304366,unaltered,broken_dilution,100
pw,3.969467797271935,base,enrich,100
beale,4.005364631327737,base,enrich,100
rating,7.922514812524605,base,enrich,100
composite,8.52530835257101,base,enrich,100
truth,7.9730020422410615,base,enrich,100
pw,2.0311346787357016,storm,enrich,100
beale,2.1046505820269865,storm,enrich,100
rating,19.989559772846388,storm,enrich,100
composite,28.783438652220873,storm,enrich,100
truth,57.613691741071214,storm,enrich,100
pw,3.744590124006056,unaltered,enrich,100
beale,3.7918285626698,unaltered,enrich,100
rating,10.323182042842081,unaltered,enrich,100
composite,11.615167590789847,unaltered,enrich,100
truth,10.624980254736206,unaltered,enrich,100
pw,13.647265518446579,base,none,100
beale,13.640695594760572,base,none,100
rating,12.836060632151598,base,none,100
composite,12.7792016512278,base,none,100
truth,13.310307880495834,base,none,100
pw,13.030574146946165,storm,none,100
beale,13.559728906360482,storm,none,100
rating,12.437277848185857,storm,none,100
composite,11.64967497827166,storm,none,100
truth,13.246769377318062,storm,none,100
pw,13.522698084082238,unaltered,none,100
beale,13.615393502168587,unaltered,none,100
rating,12.73836267596917,unaltered,none,100
composite,12.549712816776115,unaltered,none,100
truth,13.268237816968297,unaltered,none,100
pw,12.80825923621752,base,chemostatic,100
beale,12.806725406916796,base,chemostatic,100
rating,12.635482348459455,base,chemostatic,100
composite,12.650174250172649,base,chemostatic,100
truth,13.310307880495834,base,chemostatic,100
pw,12.698735017010101,storm,chemostatic,100
beale,12.750590628207384,storm,chemostatic,100
rating,12.362868573611317,storm,chemostatic,100
composite,12.31105811729037,storm,chemostatic,100
truth,13.277104658188243,storm,chemostatic,100
pw,12.782487797924793,unaltered,chemostatic,100
beale,12.791078360250683,unaltered,chemostatic,100
rating,12.577151556525985,unaltered,chemostatic,100
composite,12.58798926691952,unaltered,chemostatic,100
truth,13.304208976463391,unaltered,chemostatic,100
pw,13.550332096446219,base,broken_dilution,99
beale,13.64426660804613,base,broken_dilution,99
rating,10.958687298016557,base,broken_dilution,99
composite,10.601318633842284,base,broken_dilution,99
truth,10.671799700207812,base,broken_dilution,99
pw,34.68039390597591,storm,broken_dilution,99
beale,42.317049616502096,storm,broken_dilution,99
rating,13.55380377805232,storm,broken_dilution,99
composite,10.877431632468937,storm,broken_dilution,99
truth,16.35699244989232,storm,broken_dilution,99
pw,14.97477587486847,unaltered,broken_dilution,99
beale,15.152534707537127,unaltered,broken_dilution,99
rating,11.163795441413363,unaltered,broken_dilution,99
composite,10.776634330346115,unaltered,broken_dilution,99
truth,11.680114420330854,unaltered,broken_dilution,99
pw,3.89438804477635,base,enrich,99
beale,3.8527542346685637,base,enrich,99
rating,6.515377213425429,base,enrich,99
composite,7.285359314958919,base,enrich,99
truth,7.977449359418557,base,enrich,99
pw,1.9824016666021183,storm,enrich,99
beale,1.932323029278712,storm,enrich,99
rating,14.103554829564503,storm,enrich,99
composite,22.253947897929418,storm,enrich,99
truth,57.01080296714097,storm,enrich,99
pw,3.65143960087009,unaltered,enrich,99
beale,3.6158546720348888,unaltered,enrich,99
rating,8.10610437080234,unaltered,enrich,99
composite,9.617777525377475,unaltered,enrich,99
truth,10.610638312931234,unaltered,enrich,99
pw,13.703855587854928,base,none,99
beale,13.461371352686074,base,none,99
rating,11.798848342987716,base,none,99
composite,11.655492576848514,base,none,99
truth,13.308831025320353,base,none,99
pw,13.590669438080125,storm,none,99
beale,12.572028360430219,storm,none,99
rating,8.871021059020608,storm,none,99
composite,8.717564379181152,storm,none,99
truth,13.273264796129956,storm,none,99
pw,13.68454542918332,unaltered,none,99
beale,13.34260890746035,unaltered,none,99
rating,11.321697472006605,unaltered,none,99
composite,11.171421957329109,unaltered,none,99
truth,13.306417426143554,unaltered,none,99
pw,13.186618849849749,base,chemostatic,99
beale,13.162894852659981,base,chemostatic,99
rating,13.208423968930372,base,chemostatic,99
composite,13.23044691346398,base,chemostatic,99
truth,13.308831025320353,base,chemostatic,99
pw,13.14211250629781,storm,chemostatic,99
beale,13.086551748915118,storm,chemostatic,99
rating,12.952373519393811,storm,chemostatic,99
composite,12.958127744523711,storm,chemostatic,99
truth,13.266382795628408,storm,chemostatic,99
pw,13.17365332157278,unaltered,chemostatic,99
beale,13.151790463464378,unaltered,chemostatic,99
rating,13.180145205291558,unaltered,chemostatic,99
composite,13.195518291500827,unaltered,chemostatic,99
truth,13.301935926490161,unaltered,chemostatic,99
pw,13.51707064656991,base,broken_dilution,98
beale,13.462254587811163,base,broken_dilution,98
rating,10.702492777653514,base,broken_dilution,98
composite,10.361618606760706,base,broken_dilution,98
truth,10.667558337375048,base,broken_dilution,98
pw,33.30134417137364,storm,broken_dilution,98
beale,40.8594543441447,storm,broken_dilution,98
rating,13.122505608761111,storm,broken_dilution,98
composite,10.263221980194658,storm,broken_dilution,98
truth,15.376676661389778,storm,broken_dilution,98
pw,14.373311461678524,unaltered,broken_dilution,98
beale,14.532695518593345,unaltered,broken_dilution,98
rating,10.699418217620988,unaltered,broken_dilution,98
composite,10.275433246420983,unaltered,broken_dilution,98
truth,11.499927698898698,unaltered,broken_dilution,98
pw,3.5636077178370136,base,enrich,98
beale,3.5676415987294554,base,enrich,98
rating,6.157314245763883,base,enrich,98
composite,6.7359229845891155,base,enrich,98
truth,7.991094003006621,base,enrich,98
pw,1.7656883213463523,storm,enrich,98
beale,1.7922721944434499,storm,enrich,98
rating,10.73295526437008,storm,enrich,98
composite,16.832225582944485,storm,enrich,98
truth,57.362910732849066,storm,enrich,98
pw,3.377142566853319,unaltered,enrich,98
beale,3.3795156187666135,unaltered,enrich,98
