variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
SiO3_Si,Silicate-Si,stream_conc,mg/L,690,3,1989-10-13T00:00:00Z,1990-05-30T00:00:00Z
SiO3_Si,Silicate-Si,stream_flux,kg/ha/d,381,3,1990-01-24T00:00:00Z,1990-05-30T00:00:00Z
Sm,Samarium,precip_conc,mg/L,37934,26,2011-08-04T00:00:00Z,2019-07-29T00:00:00Z
Sm,Samarium,precip_flux,kg/ha/d,37934,26,2011-08-04T00:00:00Z,2019-07-29T00:00:00Z
Sm,Samarium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sm,Samarium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sm147,Samarium-147,precip_conc,mg/L,38285,13,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
Sm147,Samarium-147,precip_flux,kg/ha/d,38285,13,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
Sm147,Samarium-147,stream_conc,mg/L,49737,12,2005-09-26T00:00:00Z,2019-08-12T00:00:00Z
Sm147,Samarium-147,stream_flux,kg/ha/d,28667,12,2009-02-02T00:00:00Z,2019-08-12T00:00:00Z
Sn,Tin,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sn,Tin,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sn,Tin,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sn,Tin,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sn118,Tin-118,precip_conc,mg/L,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Sn118,Tin-118,precip_flux,kg/ha/d,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Sn118,Tin-118,stream_conc,mg/L,36772,9,2005-09-26T00:00:00Z,2019-07-23T00:00:00Z
Sn118,Tin-118,stream_flux,kg/ha/d,16413,9,2010-07-01T00:00:00Z,2019-07-23T00:00:00Z
SO4,Sulfate,precip_conc,mg/L,15037,13,2001-09-10T00:00:00Z,2020-12-31T00:00:00Z
SO4,Sulfate,precip_flux,kg/ha/d,17687,19,2001-09-10T00:00:00Z,2022-01-05T00:00:00Z
SO4,Sulfate,stream_conc,mg/L,71066,40,2003-03-03T00:00:00Z,2021-05-25T00:00:00Z
SO4,Sulfate,stream_flux,kg/ha/d,35325,33,2003-03-03T00:00:00Z,2021-05-25T00:00:00Z
SO4_S,Sulfate-S,precip_conc,mg/L,564591,56,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
SO4_S,Sulfate-S,precip_flux,kg/ha/d,551395,52,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
SO4_S,Sulfate-S,stream_conc,mg/L,1577209,263,1964-03-16T00:00:00Z,2021-05-24T00:00:00Z
SO4_S,Sulfate-S,stream_flux,kg/ha/d,965294,131,1964-03-16T00:00:00Z,2020-11-05T00:00:00Z
spCond,Specific Conductivity,NA,uS/cm,1976796,278,1965-06-21T00:00:00Z,2022-01-26T00:00:00Z
Sr,Strontium,precip_conc,mg/L,38298,26,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
Sr,Strontium,precip_flux,kg/ha/d,38298,26,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
Sr,Strontium,stream_conc,mg/L,146779,52,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Sr,Strontium,stream_flux,kg/ha/d,61500,24,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
SRP,Soluble Reactive Phosphorus,precip_conc,mg/L,50396,4,1986-05-30T00:00:00Z,2020-11-25T00:00:00Z
SRP,Soluble Reactive Phosphorus,precip_flux,kg/ha/d,50396,4,1986-05-30T00:00:00Z,2020-11-25T00:00:00Z
SRP,Soluble Reactive Phosphorus,stream_conc,mg/L,719940,112,1983-07-09T00:00:00Z,2020-12-14T00:00:00Z
SRP,Soluble Reactive Phosphorus,stream_flux,kg/ha/d,217349,29,1983-07-24T00:00:00Z,2020-01-24T00:00:00Z
suspSed,Suspended Sediment,precip_conc,mg/L,193516,14,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z
suspSed,Suspended Sediment,precip_flux,kg/ha/d,176500,10,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z
suspSed,Suspended Sediment,stream_conc,mg/L,159023,17,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
suspSed,Suspended Sediment,stream_flux,kg/ha/d,144381,13,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
T_ECHL,Epilithic Total Chlorophyll,NA,mg/cm2,200443,32,1983-07-22T00:00:00Z,2015-08-12T00:00:00Z
Ta,Tantalum,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ta,Tantalum,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ta,Tantalum,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ta,Tantalum,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Tb,Terbium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tb,Terbium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tb,Terbium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Tb,Terbium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
TC,Total Carbon,stream_conc,mg/L,20286,17,2014-07-18T00:00:00Z,2018-12-12T00:00:00Z
TC,Total Carbon,stream_flux,kg/ha/d,1041,1,2014-11-18T00:00:00Z,2017-09-23T00:00:00Z
TCHL,Sestonic Total Chlorophyll,stream_conc,mg/L,223753,47,1983-07-22T00:00:00Z,2015-08-08T00:00:00Z
TDN,Total Dissolved Nitrogen,precip_conc,mg/L,385064,33,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
TDN,Total Dissolved Nitrogen,precip_flux,kg/ha/d,385064,33,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
TDN,Total Dissolved Nitrogen,stream_conc,mg/L,786291,164,1968-10-09T00:00:00Z,2021-05-24T00:00:00Z
TDN,Total Dissolved Nitrogen,stream_flux,kg/ha/d,382384,65,1968-10-09T00:00:00Z,2020-11-05T00:00:00Z
TDP,Total Dissolved Phosphorus,precip_conc,mg/L,253054,28,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
TDP,Total Dissolved Phosphorus,precip_flux,kg/ha/d,236038,24,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
TDP,Total Dissolved Phosphorus,stream_conc,mg/L,614045,150,1968-10-09T00:00:00Z,2021-11-03T00:00:00Z
TDP,Total Dissolved Phosphorus,stream_flux,kg/ha/d,302977,72,1968-10-09T00:00:00Z,2021-11-03T00:00:00Z
TDS,Total Dissolved Solids,stream_conc,mg/L,55455,32,2012-01-31T00:00:00Z,2021-11-03T00:00:00Z
Te,Tellurium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Te,Tellurium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Te,Tellurium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Te,Tellurium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
temp,Water Temperature,NA,degrees C,1252662,192,1963-06-25T00:00:00Z,2022-04-16T00:00:00Z
Th,Thorium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Th,Thorium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Th,Thorium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Th,Thorium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ti,Titanium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ti,Titanium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ti,Titanium,stream_conc,mg/L,90687,28,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ti,Titanium,stream_flux,kg/ha/d,29561,10,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ti49,Titanium-49,precip_conc,mg/L,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ti49,Titanium-49,precip_flux,kg/ha/d,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ti49,Titanium-49,stream_conc,mg/L,36772,9,2005-09-26T00:00:00Z,2019-07-23T00:00:00Z
Ti49,Titanium-49,stream_flux,kg/ha/d,16413,9,2010-07-01T00:00:00Z,2019-07-23T00:00:00Z
TIC,Total Inorganic Carbon,precip_conc,mg/L,40885,13,2011-02-10T00:00:00Z,2019-09-20T00:00:00Z
TIC,Total Inorganic Carbon,precip_flux,kg/ha/d,40885,13,2011-02-10T00:00:00Z,2019-09-20T00:00:00Z
TIC,Total Inorganic Carbon,stream_conc,mg/L,50188,12,2005-09-26T00:00:00Z,2020-01-27T00:00:00Z
TIC,Total Inorganic Carbon,stream_flux,kg/ha/d,28944,12,2009-02-02T00:00:00Z,2019-09-15T00:00:00Z
TIN,Total Inorganic Nitrogen,stream_conc,mg/L,105593,25,1994-01-11T00:00:00Z,2020-11-05T00:00:00Z
TIN,Total Inorganic Nitrogen,stream_flux,kg/ha/d,51001,9,1994-01-11T00:00:00Z,2020-11-05T00:00:00Z
TIP,Total Inorganic Phosphorus,precip_conc,mg/L,228,4,2011-06-20T00:00:00Z,2011-08-15T00:00:00Z
TIP,Total Inorganic Phosphorus,precip_flux,kg/ha/d,228,4,2011-06-20T00:00:00Z,2011-08-15T00:00:00Z
TIP,Total Inorganic Phosphorus,stream_conc,mg/L,88039,25,1997-05-21T00:00:00Z,2020-11-05T00:00:00Z
TIP,Total Inorganic Phosphorus,stream_flux,kg/ha/d,45184,9,1997-05-29T00:00:00Z,2020-11-05T00:00:00Z
TKN,Total Kjeldahl Nitrogen,precip_conc,mg/L,150526,14,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,precip_flux,kg/ha/d,133510,10,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,stream_conc,mg/L,125706,18,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,stream_flux,kg/ha/d,110692,15,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
Tl,Thallium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tl,Thallium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tl,Thallium,stream_conc,mg/L,59472,19,2006-03-13T00:00:00Z,2020-12-02T00:00:00Z
Tl,Thallium,stream_flux,kg/ha/d,36555,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Tm,Thulium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tm,Thulium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Tm,Thulium,stream_conc,mg/L,73608,22,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
Tm,Thulium,stream_flux,kg/ha/d,48809,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
TMAl,Aluminum TM,precip_conc,mg/L,43857,9,2008-01-07T00:00:00Z,2021-05-10T00:00:00Z
TMAl,Aluminum TM,precip_flux,kg/ha/d,43857,9,2008-01-07T00:00:00Z,2021-05-10T00:00:00Z
TMAl,Aluminum TM,stream_conc,mg/L,29892,10,2011-05-02T00:00:00Z,2021-05-24T00:00:00Z
TMAl,Aluminum TM,stream_flux,kg/ha/d,23012,9,2013-06-01T00:00:00Z,2020-06-02T00:00:00Z
TN,Total Nitrogen,precip_conc,mg/L,41054,26,1998-04-26T00:00:00Z,2019-09-20T00:00:00Z
TN,Total Nitrogen,precip_flux,kg/ha/d,41054,26,1998-04-26T00:00:00Z,2019-09-20T00:00:00Z
TN,Total Nitrogen,stream_conc,mg/L,431010,112,1985-03-12T00:00:00Z,2021-04-22T00:00:00Z
TN,Total Nitrogen,stream_flux,kg/ha/d,241975,58,1985-07-08T00:00:00Z,2021-01-11T00:00:00Z
TOC,Total Organic Carbon,precip_conc,mg/L,40885,13,2011-02-10T00:00:00Z,2019-09-20T00:00:00Z
TOC,Total Organic Carbon,precip_flux,kg/ha/d,40885,13,2011-02-10T00:00:00Z,2019-09-20T00:00:00Z
TOC,Total Organic Carbon,stream_conc,mg/L,197593,67,1985-07-11T00:00:00Z,2021-10-27T00:00:00Z
TOC,Total Organic Carbon,stream_flux,kg/ha/d,103400,56,1985-07-11T00:00:00Z,2021-10-27T00:00:00Z
TP,Total Phosphorus,precip_conc,mg/L,14228,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,precip_flux,kg/ha/d,14228,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,stream_conc,mg/L,311496,85,1989-09-05T00:00:00Z,2021-11-03T00:00:00Z
TP,Total Phosphorus,stream_flux,kg/ha/d,185911,54,1989-09-05T00:00:00Z,2021-11-03T00:00:00Z
TPC,Total Particulate Carbon,stream_conc,mg/L,146270,74,1994-06-24T00:00:00Z,2020-10-20T00:00:00Z
