id,Unique Code,Site,date_time,Volume-weighted mean sampling time,Precip sampling starts,Precip sampling ends,Yr,Month,Day,dayno,Time,Date,Year,Year_mean_sampling,water flux mm/hr,log_flow,Conductivity uS/cm,pH,Gran alkalinity uEq/l,DOC mg/l,NO3-N mg/l,NO2-N mg/l,NH4-N mg/l,TDN mg/l,DON mg/l,F mg/l,SO4 mg/l,SO4_by_ICP mg/l,Cl mg/l,Br ug/l,I ug/l,Li ug/l,Be ug/l,B ug/l,Na mg/l,Mg mg/l,Al ug/l,Si mg/l,S mg/l,K mg/l,Ca mg/l,Sc ug/l,Ti ug/l,V ug/l,Cr ug/l,Mn ug/l,Fe ug/l,Co ug/l,Ni ug/l,Cu ug/l,Zn ug/l,As ug/l,Se ug/l,Rb ug/l,Sr ug/l,Mo ug/l,Cd ug/l,Sn ug/l,Sb ug/l,Cs ug/l,Ba ug/l,La ug/l,Ce ug/l,Pr ug/l,W ug/l,Pb ug/l,U ug/l,Flow cumecs,Flow mm/15min,Rainfall mm,Day_of_week,Trip,Comments,Conductivity uS/cm RDA,pH RDA,Gran alkalinity uEq/l RDA,DOC mg/l RDA,NO3-N mg/l RDA,NO2-N mg/l RDA,NH4-N mg/l RDA,TDN mg/l RDA,F mg/l RDA,SO4 mg/l RDA,Cl mg/l RDA,Br ug/l RDA,I ug/l RDA,Li ug/l RDA,Be ug/l RDA,B ug/l RDA,Na mg/l RDA,Mg mg/l RDA,Al ug/l RDA,Si mg/l RDA,S mg/l RDA,K mg/l RDA,Ca mg/l RDA,Sc ug/l RDA,Ti ug/l RDA,V ug/l RDA,Cr ug/l RDA,Mn ug/l RDA,Fe ug/l RDA,Co ug/l RDA,Ni ug/l RDA,Cu ug/l RDA,Zn ug/l RDA,As ug/l RDA,Se ug/l RDA,Rb ug/l RDA,Sr ug/l RDA,Mo ug/l RDA,Cd ug/l RDA,Sn ug/l RDA,Sb ug/l RDA,Cs ug/l RDA,Ba ug/l RDA,La ug/l RDA,Ce ug/l RDA,Pr ug/l RDA,W ug/l RDA,Pb ug/l RDA,U ug/l RDA,Flow Cumecs RDA,Flow mm/15min RDA,Rainfall mm RDA,30 ml ISO,Blue Schott/pH bottle,Brown/anion bottle,Plastic Nalgene/cation bottle,FileA,FileC,FileP,FileCA,CodeW
1,CR1,CR,2007/03/06 19:00,2007/03/06 21:22,2007/03/06 19:00,2007/03/07 02:00,2007,3,6,65.7916667,7:00 PM,2007/03/06,2007.177511,2007.177783,0.57142857,-0.243038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Tuesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,no,no,no,,,,,
2,CR2,CR,2007/03/07 02:00,2007/03/07 05:30,2007/03/07 02:00,2007/03/07 09:00,2007,3,7,66.0833333,2:00 AM,2007/03/07,2007.178311,2007.17871,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
3,CR3,CR,2007/03/07 09:00,2007/03/07 12:30,2007/03/07 09:00,2007/03/07 16:00,2007,3,7,66.375,9:00 AM,2007/03/07,2007.17911,2007.179509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
4,CR4,CR,2007/03/07 16:00,2007/03/07 19:30,2007/03/07 16:00,2007/03/07 23:00,2007,3,7,66.6666667,4:00 PM,2007/03/07,2007.179909,2007.180308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
5,CR5,CR,2007/03/07 23:00,2007/03/08 01:00,2007/03/07 23:00,2007/03/08 06:00,2007,3,7,66.9583333,11:00 PM,2007/03/07,2007.180708,2007.180936,0.42857143,-0.3679768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,no,no,no,,,,,
6,CR6,CR,2007/03/08 06:00,2007/03/08 09:30,2007/03/08 06:00,2007/03/08 13:00,2007,3,8,67.25,6:00 AM,2007/03/08,2007.181507,2007.181906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Thursday,1,none,,,,1.26,0.35828138,0.02521646,,,0.03702962,1.19321309,5.40774164,13.61738,,,0.009,,,,82.9,,,,,0.039,0.826,0.366,6.38,13.7,32.4,1.1,2.68,19.9,882,0.864,0.326,0.775,12.4,5.37,26.6,0.352,0.972,0.024,86.6,0.056,0.056,0.006,,22.4,0.002,,,0,,no,no,1/6 full,,EE215,,,CR1
7,CR7,CR,2007/03/08 13:00,2007/03/08 17:50,2007/03/08 13:00,2007/03/08 20:00,2007,3,8,67.5416667,1:00 PM,2007/03/08,2007.182306,2007.182858,0.85714286,-0.0669468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Thursday,1,none,,,,8.45,0.28411786,0.13325355,,,0.05921408,1.70857292,16.9933402,27.80066,,,0.004,27.7,2.04,0.2,24.9,,0.394,0.26,0.78,0.011,0.246,0.373,7.27,4.58,40.7,0.246,0.61,8.89,94.9,0.373,0.174,0.18,4.64,0.482,12,0.193,0.388,0.002,101,0.059,0.054,0.006,,77,0.002,,,6,,no,no,no,,EE215,,EE215A,CR2
8,CR8,CR,2007/03/08 20:00,2007/03/08 21:00,2007/03/08 20:00,2007/03/09 03:00,2007,3,8,67.8333333,8:00 PM,2007/03/08,2007.183105,2007.183219,0.57142857,-0.243038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Thursday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,no,no,no,,,,,
9,CR9,CR,2007/03/09 03:00,2007/03/09 06:30,2007/03/09 03:00,2007/03/09 10:00,2007,3,9,68.125,3:00 AM,2007/03/09,2007.183904,2007.184304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
10,CR10,CR,2007/03/09 10:00,2007/03/09 13:30,2007/03/09 10:00,2007/03/09 17:00,2007,3,9,68.4166667,10:00 AM,2007/03/09,2007.184703,2007.185103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
11,CR11,CR,2007/03/09 17:00,2007/03/09 20:30,2007/03/09 17:00,2007/03/10 00:00,2007,3,9,68.7083333,5:00 PM,2007/03/09,2007.185502,2007.185902,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
12,CR12,CR,2007/03/10 00:00,2007/03/10 03:30,2007/03/10 00:00,2007/03/10 07:00,2007,3,10,69,12:00 AM,2007/03/10,2007.186301,2007.186701,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Saturday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
13,CR13,CR,2007/03/10 07:00,2007/03/10 11:30,2007/03/10 07:00,2007/03/10 14:00,2007,3,10,69.2916667,7:00 AM,2007/03/10,2007.187101,2007.187614,0.07142857,-1.146128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,Saturday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,no,no,no,,,,,
14,CR14,CR,2007/03/10 14:00,2007/03/10 17:30,2007/03/10 14:00,2007/03/10 21:00,2007,3,10,69.5833333,2:00 PM,2007/03/10,2007.1879,2007.188299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Saturday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
15,CR15,CR,2007/03/10 21:00,2007/03/11 00:30,2007/03/10 21:00,2007/03/11 04:00,2007,3,10,69.875,9:00 PM,2007/03/10,2007.188699,2007.189098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Saturday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
16,CR16,CR,2007/03/11 04:00,2007/03/11 07:30,2007/03/11 04:00,2007/03/11 11:00,2007,3,11,70.1666667,4:00 AM,2007/03/11,2007.189498,2007.189897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sunday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
17,CR17,CR,2007/03/11 11:00,2007/03/11 14:30,2007/03/11 11:00,2007/03/11 18:00,2007,3,11,70.4583333,11:00 AM,2007/03/11,2007.190297,2007.190696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sunday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
18,CR18,CR,2007/03/11 18:00,2007/03/11 21:30,2007/03/11 18:00,2007/03/12 01:00,2007,3,11,70.75,6:00 PM,2007/03/11,2007.191096,2007.191495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sunday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
19,CR19,CR,2007/03/12 01:00,2007/03/12 05:42,2007/03/12 01:00,2007/03/12 08:00,2007,3,12,71.0416667,1:00 AM,2007/03/12,2007.191895,2007.192433,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Monday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,no,no,no,,,,,
20,CR20,CR,2007/03/12 08:00,2007/03/12 11:30,2007/03/12 08:00,2007/03/12 15:00,2007,3,12,71.3333333,8:00 AM,2007/03/12,2007.192694,2007.193094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
21,CR21,CR,2007/03/12 15:00,2007/03/12 18:30,2007/03/12 15:00,2007/03/12 22:00,2007,3,12,71.625,3:00 PM,2007/03/12,2007.193493,2007.193893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
22,CR22,CR,2007/03/12 22:00,2007/03/13 01:30,2007/03/12 22:00,2007/03/13 05:00,2007,3,12,71.9166667,10:00 PM,2007/03/12,2007.194292,2007.194692,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,1,none,,,,34.7,7.7554,,,,0.2744,23.7604906,169.2197,36.91859,,,0.185,,,,1630,,,,,0.155,3.99,13.6,514,204,1780,3.94,11.2,111,1520,4.78,1.52,2.77,92.9,13.1,861,0.803,19.3,0.137,158,6.57,9.72,1.1,,3970,0.284,,,0,,no,no,1/4 full,,EE215,,,CR3
23,CR23,CR,2007/03/13 05:00,2007/03/13 08:30,2007/03/13 05:00,2007/03/13 12:00,2007,3,13,72.2083333,5:00 AM,2007/03/13,2007.195091,2007.195491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tuesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
24,CR24,CR,2007/03/13 12:00,2007/03/13 13:30,2007/03/13 12:00,2007/03/13 19:00,2007,3,13,72.5,12:00 PM,2007/03/13,2007.19589,2007.196062,0.14285714,-0.845098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tuesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,no,no,no,,,,,
25,CR25,CR,2007/03/13 19:00,2007/03/14 01:30,2007/03/13 19:00,2007/03/14 02:00,2007,3,13,72.7916667,7:00 PM,2007/03/13,2007.19669,2007.197432,0.07142857,-1.146128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,Tuesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,no,no,no,,,,,
26,CR26,CR,2007/03/14 02:00,2007/03/14 05:30,2007/03/14 02:00,2007/03/14 09:00,2007,3,14,73.0833333,2:00 AM,2007/03/14,2007.197489,2007.197888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
27,CR27,CR,2007/03/14 09:00,2007/03/14 12:30,2007/03/14 09:00,2007/03/14 16:00,2007,3,14,73.375,9:00 AM,2007/03/14,2007.198288,2007.198687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
28,CR28,CR,2007/03/14 16:00,2007/03/14 19:30,2007/03/14 16:00,2007/03/14 23:00,2007,3,14,73.6666667,4:00 PM,2007/03/14,2007.199087,2007.199486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
29,CR29,CR,2007/03/14 23:00,2007/03/15 02:30,2007/03/14 23:00,2007/03/15 06:00,2007,3,14,73.9583333,11:00 PM,2007/03/14,2007.199886,2007.200285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
30,CR30,CR,2007/03/15 06:00,2007/03/15 12:30,2007/03/15 06:00,2007/03/15 13:00,2007,3,15,74.25,6:00 AM,2007/03/15,2007.200685,2007.201427,0.14285714,-0.845098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Thursday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,no,no,no,,,,,
31,CR31,CR,2007/03/15 13:00,2007/03/15 15:05,2007/03/15 13:00,2007/03/15 20:00,2007,3,15,74.5416667,1:00 PM,2007/03/15,2007.201484,2007.201722,1.21428571,0.08432089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,Thursday,2,none,,,,17.9,5.5343,,,,0.1577,13.1691674,66.6831,30.7,,,0.089,,,,633,,,,,0.064,2.04,4.71,246,76.4,815,2.25,4.7,65.6,778,2.69,1.11,1.6,42.3,5.25,379,0.397,9.53,0.058,95.6,1.5,1.76,0.18,,1890,0.076,,,8.5,,no,2/5 full,3/4 full,,EE215,,,CR4
32,CR32,CR,2007/03/15 20:00,2007/03/15 23:30,2007/03/15 20:00,2007/03/16 03:00,2007,3,15,74.8333333,8:00 PM,2007/03/15,2007.202283,2007.202683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Thursday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
33,CR33,CR,2007/03/16 03:00,2007/03/16 06:30,2007/03/16 03:00,2007/03/16 10:00,2007,3,16,75.125,3:00 AM,2007/03/16,2007.203082,2007.203482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
34,CR34,CR,2007/03/16 10:00,2007/03/16 13:30,2007/03/16 10:00,2007/03/16 17:00,2007,3,16,75.4166667,10:00 AM,2007/03/16,2007.203881,2007.204281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
35,CR35,CR,2007/03/16 17:00,2007/03/16 23:30,2007/03/16 17:00,2007/03/17 00:00,2007,3,16,75.7083333,5:00 PM,2007/03/16,2007.20468,2007.205422,0.07142857,-1.146128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,Friday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,no,no,no
36,CR36,CR,2007/03/17 00:00,2007/03/17 02:37,2007/03/17 00:00,2007/03/17 07:00,2007,3,17,76,12:00 AM,2007/03/17,2007.20548,2007.205779,0.57142857,-0.243038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Saturday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,no,no,no
37,CR37,CR,2007/03/17 07:00,2007/03/17 10:30,2007/03/17 07:00,2007/03/17 14:00,2007,3,17,76.2916667,7:00 AM,2007/03/17,2007.206279,2007.206678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Saturday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
38,CR38,CR,2007/03/17 14:00,2007/03/17 17:44,2007/03/17 14:00,2007/03/17 21:00,2007,3,17,76.5833333,2:00 PM,2007/03/17,2007.207078,2007.207504,2.42857143,0.38535088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Saturday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,no,no,no
39,CR39,CR,2007/03/17 21:00,2007/03/17 23:27,2007/03/17 21:00,2007/03/18 04:00,2007,3,17,76.875,9:00 PM,2007/03/17,2007.207877,2007.208157,1.71428571,0.23408321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Saturday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,no,no,no
40,CR40,CR,2007/03/18 04:00,2007/03/18 08:42,2007/03/18 04:00,2007/03/18 11:00,2007,3,18,77.1666667,4:00 AM,2007/03/18,2007.208676,2007.209212,0.35714286,-0.447158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,Sunday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,no,no,no
41,CR41,CR,2007/03/18 11:00,2007/03/18 14:30,2007/03/18 11:00,2007/03/18 18:00,2007,3,18,77.4583333,11:00 AM,2007/03/18,2007.209475,2007.209874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sunday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
42,CR42,CR,2007/03/18 18:00,2007/03/18 21:30,2007/03/18 18:00,2007/03/19 01:00,2007,3,18,77.75,6:00 PM,2007/03/18,2007.210274,2007.210674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sunday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
43,CR43,CR,2007/03/19 01:00,2007/03/19 04:30,2007/03/19 01:00,2007/03/19 08:00,2007,3,19,78.0416667,1:00 AM,2007/03/19,2007.211073,2007.211473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
44,CR44,CR,2007/03/19 08:00,2007/03/19 09:40,2007/03/19 08:00,2007/03/19 15:00,2007,3,19,78.3333333,8:00 AM,2007/03/19,2007.211872,2007.212062,0.85714286,-0.0669468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Monday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,no,no,no
45,CR45,CR,2007/03/19 15:00,2007/03/19 18:30,2007/03/19 15:00,2007/03/19 22:00,2007,3,19,78.625,3:00 PM,2007/03/19,2007.212671,2007.213071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
46,CR46,CR,2007/03/19 22:00,2007/03/20 01:30,2007/03/19 22:00,2007/03/20 05:00,2007,3,19,78.9166667,10:00 PM,2007/03/19,2007.21347,2007.21387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Monday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no
47,CR47,CR,2007/03/20 05:00,2007/03/20 09:30,2007/03/20 05:00,2007/03/20 12:00,2007,3,20,79.2083333,5:00 AM,2007/03/20,2007.214269,2007.214783,0.14285714,-0.845098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tuesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,no,no,no
48,CR48,CR,2007/03/20 12:00,2007/03/20 15:30,2007/03/20 12:00,2007/03/20 19:00,2007,3,20,79.5,12:00 PM,2007/03/20,2007.215069,2007.215468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tuesday,2,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
49,CR49,CR,2007/03/20 19:00,2007/03/20 22:30,2007/03/20 19:00,2007/03/21 02:00,2007,3,20,79.7916667,7:00 PM,2007/03/20,2007.215868,2007.216267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tuesday,3,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
50,CR50,CR,2007/03/21 02:00,2007/03/21 05:30,2007/03/21 02:00,2007/03/21 09:00,2007,3,21,80.0833333,2:00 AM,2007/03/21,2007.216667,2007.217066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,3,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
51,CR51,CR,2007/03/21 09:00,2007/03/21 12:30,2007/03/21 09:00,2007/03/21 16:00,2007,3,21,80.375,9:00 AM,2007/03/21,2007.217466,2007.217865,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,3,Possibly snow melt,,,,0.75,0.07740163,,,,0.00519665,4.24557389,28.59909,75.35773,,,0,9.28,14.1,1.72,12.3,,1.48,0.66,0.74,0.062,0.011,0.302,0.769,1.6,8.7,0.069,0.436,3.34,61.5,0.256,0.376,0.238,10.2,0.099,3.7,0.066,0.185,0.001,30.2,0.024,0.01,0.001,,20.5,0,,,0,,yes,yes,yes,,EE215,,EE215A,CR5
52,CR52,CR,2007/03/21 16:00,2007/03/21 19:30,2007/03/21 16:00,2007/03/21 23:00,2007,3,21,80.6666667,4:00 PM,2007/03/21,2007.218265,2007.218664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,3,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
53,CR53,CR,2007/03/21 23:00,2007/03/22 00:48,2007/03/21 23:00,2007/03/22 06:00,2007,3,21,80.9583333,11:00 PM,2007/03/21,2007.219064,2007.219269,0.71428571,-0.146128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Wednesday,3,Possibly snow melt,,,,1.2,0.18525414,0.04040666,,,0.00602418,1.46797184,10.1732106,10.43513,,,0.003,9.61,5.04,0.6,10.3,,0.536,0.5,0.71,0,0.088,0.252,0.986,2.12,12,0.143,0.665,5.73,161,0.371,0.067,0.253,4.93,0.224,3.09,0.157,0.131,0.002,40.2,0.017,0.014,0.001,,41.2,0.001,,,5,,yes,yes,yes,,EE215,,EE215A,CR6
